code,state
AAF,FL
ABE,PA
ABI,TX
ABL,AK
ABQ,NM
ABR,SD
ABY,GA
ACB,MI
ACK,MA
ACT,TX
ACV,CA
ACY,NJ
ADG,MI
ADK,AK
ADM,OK
ADQ,AK
ADR,SC
ADS,TX
ADT,OK
ADW,MD
AEL,MN
AET,AK
AEX,LA
AFF,CO
AFN,NH
AFO,WY
AFW,TX
AGC,PA
AGN,AK
AGO,AR
AGS,GA
AHC,CA
AHD,OK
AHF,NE
AHH,WI
AHM,OR
AHN,GA
AIA,NE
AID,IN
AIK,SC
AIN,AK
AIO,IA
AIV,AL
AIZ,MO
AKB,AK
AKC,OH
AKI,AK
AKK,AK
AKN,AK
AKO,CO
AKP,AK
ALB,NY
ALE,TX
ALI,TX
ALM,NM
ALN,IL
ALO,IA
ALS,CO
ALW,WA
ALX,AL
ALZ,AK
AMA,TX
AMK,CO
AMN,MI
AMW,IA
ANB,AL
ANC,AK
AND,SC
ANI,AK
ANN,AK
ANP,MD
ANQ,IN
ANV,AK
ANW,NE
ANY,KS
AOH,OH
AOO,PA
AOS,AK
APA,CO
APC,CA
APF,FL
APG,MD
APH,VA
APN,MI
APT,TN
APV,CA
AQY,AK
ARA,LA
ARB,MI
ARC,AK
ARG,AR
ART,NY
ARV,WI
ASE,CO
ASH,NH
ASL,TX
ASN,AL
ASQ,NV
AST,OR
ASX,WI
ASY,ND
ATE,OK
ATK,AK
ATL,GA
ATO,OH
ATS,NM
ATT,AK
ATU,AK
ATW,WI
ATY,SD
AUG,ME
AUK,AK
AUM,MN
AUN,CA
AUO,AL
AUS,TX
AUW,WI
AUZ,IL
AVL,NC
AVO,FL
AVP,PA
AVW,AZ
AVX,CA
AWM,AR
AXB,NY
AXG,IA
AXN,MN
AXS,OK
AXV,OH
AXX,NM
AYS,GA
AZA,AZ
AZO,MI
BAB,CA
BAD,LA
BAF,MA
BAM,NV
BBB,MN
BBC,TX
BBD,TX
BBW,NE
BBX,PA
BCB,VA
BCC,AK
BCE,UT
BCS,LA
BCT,FL
BDE,MN
BDF,IL
BDG,UT
BDL,CT
BDR,CT
BDX,MT
BDY,OR
BEC,KS
BED,MA
BEH,MI
BET,AK
BFD,PA
BFF,NE
BFG,UT
BFI,WA
BFK,CO
BFL,CA
BFM,AL
BFP,PA
BFR,IN
BFT,SC
BGD,TX
BGE,GA
BGM,NY
BGQ,AK
BGR,ME
BGT,AZ
BHB,ME
BHM,AL
BID,RI
BIE,NE
BIF,TX
BIG,AK
BIH,CA
BIL,MT
BIS,ND
BIX,MS
BJC,CO
BJI,MN
BJJ,OH
BKC,AK
BKD,TX
BKE,OR
BKF,AK
BKG,MO
BKH,HI
BKL,OH
BKT,VA
BKW,WV
BKX,SD
BLD,NV
BLF,WV
BLH,CA
BLI,WA
BLM,NJ
BLU,CA
BLV,IL
BMC,UT
BMG,IN
BMI,IL
BML,NH
BMT,TX
BMX,AK
BNA,TN
BNF,AK
BNG,CA
BNH,MA
BNL,SC
BNO,OR
BNW,IA
BOI,ID
BOK,OR
BOS,MA
BOW,FL
BPI,WY
BPT,TX
BQK,GA
BQV,AK
BRD,MN
